day_classification,day_name,DTE_adjusted,median_max_pct
average,Friday,0,2.260796812749004
average,Friday,1,2.164627307025594
average,Friday,2,2.0110961365678346
average,Monday,0,2.173076923076923
average,Monday,1,2.0
average,Monday,2,1.852941176470588
average,Thursday,0,2.018867924528302
average,Thursday,1,1.712121212121212
average,Thursday,2,1.65
average,Tuesday,0,1.569767441860465
average,Tuesday,1,1.5499999999999998
average,Tuesday,2,1.5714285714285714
average,Wednesday,0,1.894736842105263
average,Wednesday,1,1.7352941176470587
average,Wednesday,2,1.5714285714285716
average_high,Friday,0,2.4761904761904763
average_high,Friday,1,2.466666666666667
average_high,Friday,2,2.1612903225806455
average_high,Monday,0,3.454545454545454
average_high,Monday,1,2.346153846153846
average_high,Monday,2,2.1555555555555554
average_high,Thursday,0,2.6
average_high,Thursday,1,1.9508196721311475
average_high,Tuesday,0,2.478141576733126
average_high,Tuesday,1,1.7667971298108287
average_high,Tuesday,2,1.761904761904762
average_high,Wednesday,0,4.04
average_high,Wednesday,1,3.2380952380952386
average_high,Wednesday,2,2.7647058823529407
high,Friday,0,7.774154589371982
high,Friday,1,6.1875
high,Friday,2,4.058415032679738
high,Monday,0,15.687499999999998
high,Monday,1,8.157894736842106
high,Monday,2,7.222222222222222
high,Thursday,0,6.184444444444445
high,Thursday,1,3.88235294117647
high,Thursday,2,3.5909090909090913
high,Tuesday,0,5.208333333333334
high,Tuesday,1,3.529411764705882
high,Tuesday,2,3.1176470588235294
high,Wednesday,0,3.548387096774194
high,Wednesday,1,2.9714285714285715
high,Wednesday,2,2.4857142857142858
very_high,Friday,0,16.315789473684212
very_high,Friday,1,7.46875
very_high,Friday,2,6.5
very_low,Friday,0,1.4869500680328205
very_low,Friday,1,1.4776119402985073
very_low,Friday,2,1.228613370553978
very_low,Monday,0,1.4608695652173913
very_low,Monday,1,1.3893805309734515
very_low,Monday,2,1.4142857142857144
very_low,Thursday,0,1.4888493859082095
very_low,Thursday,1,1.4143268647665252
very_low,Thursday,2,1.4098375784422297
very_low,Tuesday,0,1.59375
very_low,Tuesday,1,1.3673469387755104
very_low,Tuesday,2,1.334928229665072
very_low,Wednesday,0,1.5357142857142858
very_low,Wednesday,1,1.3333333333333335
very_low,Wednesday,2,1.4626865671641789
