Date,Call_Max_Daily,Put_Max_Daily,equity_open,high_equity,low_equity,close_equity,Max,weekday,spy_direction_lag1,intraday_range_lag1,spy_direction_lag2,day_classification,d1,d2,d3,d4,d5,weekday_encoded
2023-03-17,1.120689655172414,3.230769230769231,393.27,394.4,388.55,390.11,3.230769230769231,Friday,8.189999999999998,9.880000000000052,1.8700000000000045,high,very_high,average,high,very_high,high,0
2023-03-20,1.9701492537313432,1.0994285714285714,390.87,394.17,390.07,393.66,1.9701492537313432,Monday,-3.159999999999968,5.849999999999966,8.189999999999998,average,high,very_high,average,high,very_high,1
2023-03-21,1.4844444444444445,1.5845410628019323,397.48,399.41,395.58,398.87,1.5845410628019323,Tuesday,2.7900000000000205,4.100000000000023,-3.159999999999968,average,average,high,very_high,average,high,3
2023-03-22,1.827586206896552,1.3599999999999999,398.19,402.49,392.07,392.14,1.827586206896552,Wednesday,1.3899999999999864,3.830000000000041,2.7900000000000205,average,average,average,high,very_high,average,4
2023-03-23,4.07142857142857,4.633333333333333,395.81,399.29,390.35,393.11,4.633333333333333,Thursday,-6.050000000000011,10.420000000000016,1.3899999999999864,very_high,average,average,average,high,very_high,2
2023-03-24,3.058139534883721,1.0314009661835748,390.58,395.84,389.4,395.72,3.058139534883721,Friday,-2.6999999999999886,8.939999999999998,-6.050000000000011,high,very_high,average,average,average,high,0
2023-03-27,1.0,2.153846153846154,398.4691,398.92,395.56,396.45,2.153846153846154,Monday,5.140000000000043,6.439999999999998,-2.6999999999999886,high,high,very_high,average,average,average,1
2023-03-28,1.208955223880597,1.555023923444976,395.62,396.49,393.69,395.65,1.555023923444976,Tuesday,-2.019100000000037,3.3600000000000136,5.140000000000043,average,high,high,very_high,average,average,3
2023-03-29,1.4074074074074072,1.423529411764706,399.82,401.6,398.68,401.34,1.423529411764706,Wednesday,0.029999999999972715,2.8000000000000114,-2.019100000000037,low,average,high,high,very_high,average,4
2023-03-30,1.2142857142857144,1.7826086956521738,403.68,404.35,401.76,403.7,1.7826086956521738,Thursday,1.5199999999999818,2.920000000000016,0.029999999999972715,average,low,average,high,high,very_high,2
2023-03-31,5.771428571428572,1.0476190476190477,405.45,409.7,405.31,409.36,5.771428571428572,Friday,0.01999999999998181,2.590000000000032,1.5199999999999818,very_high,average,low,average,high,high,0
2023-04-03,2.4222222222222225,1.44,409.6,411.37,408.44,410.93,2.4222222222222225,Monday,3.910000000000025,4.389999999999986,0.01999999999998181,high,very_high,average,low,average,high,1
2023-04-04,1.5454545454545456,4.6521739130434785,410.59,411.92,407.24,408.7,4.6521739130434785,Tuesday,1.329999999999984,2.930000000000007,3.910000000000025,very_high,high,very_high,average,low,average,3
2023-04-05,1.2413793103448276,1.838235294117647,407.99,408.7,405.88,407.65,1.838235294117647,Wednesday,-1.8899999999999864,4.680000000000007,1.329999999999984,average,very_high,high,very_high,average,low,4
2023-04-06,4.1764705882352935,1.0,406.04,409.48,405.678,409.2,4.1764705882352935,Thursday,-0.34000000000003183,2.819999999999993,-1.8899999999999864,very_high,average,very_high,high,very_high,average,2
2023-04-10,2.4489795918367347,1.2991452991452992,406.76,409.69,406.0,409.66,2.4489795918367347,Monday,3.159999999999968,3.802000000000021,-0.34000000000003183,high,very_high,average,very_high,high,very_high,1
2023-04-11,1.474820143884892,1.273015873015873,409.77,411.18,408.92,409.71,1.474820143884892,Tuesday,2.900000000000034,3.6899999999999977,3.159999999999968,low,high,very_high,average,very_high,high,3
2023-04-12,1.1997264021887826,3.48,411.21,411.85,407.44,408.07,3.48,Wednesday,-0.060000000000002274,2.259999999999991,2.900000000000034,high,low,high,very_high,average,very_high,4
2023-04-13,8.833333333333334,1.028985507246377,409.2,413.84,407.9922,413.445,8.833333333333334,Thursday,-3.1399999999999864,4.410000000000025,-0.060000000000002274,very_high,high,low,high,very_high,average,2
2023-04-14,1.2133333333333334,5.411764705882352,414.32,415.09,410.06,412.49,5.411764705882352,Friday,4.2450000000000045,5.84779999999995,-3.1399999999999864,very_high,very_high,high,low,high,very_high,0
2023-04-17,1.1524105754276828,1.8965517241379313,412.9,413.96,411.085,413.94,1.8965517241379313,Monday,-1.829999999999984,5.029999999999973,4.2450000000000045,average,very_high,very_high,high,low,high,1
2023-04-18,1.070754716981132,3.4285714285714284,415.35,415.72,412.7802,414.22,3.4285714285714284,Tuesday,1.0400000000000205,2.875,-1.829999999999984,high,average,very_high,very_high,high,low,3
2023-04-19,2.514705882352941,1.0,412.35,415.08,412.23,414.21,2.514705882352941,Wednesday,-1.1299999999999955,2.939800000000048,1.0400000000000205,high,high,average,very_high,very_high,high,4
2023-04-20,1.768421052631579,1.7297297297297298,412.05,413.7,410.27,411.88,1.768421052631579,Thursday,1.8599999999999568,2.849999999999966,-1.1299999999999955,average,high,high,average,very_high,very_high,2
2023-04-21,1.1228813559322035,1.909090909090909,411.97,412.68,410.17,412.18,1.909090909090909,Friday,-0.17000000000001592,3.430000000000007,1.8599999999999568,average,average,high,high,average,very_high,0
2023-04-24,1.061904761904762,2.4310344827586206,412.77,413.07,410.6,412.63,2.4310344827586206,Monday,0.20999999999997954,2.509999999999991,-0.17000000000001592,high,average,average,high,high,average,1
2023-04-25,1.047161572052402,9.214285714285714,411.09,411.09,406.02,406.12,9.214285714285714,Tuesday,-0.13999999999998636,2.4699999999999704,0.20999999999997954,very_high,high,average,average,high,high,3
2023-04-26,1.3591549295774648,2.2967032967032965,406.52,407.84,403.78,404.37,2.2967032967032965,Wednesday,-4.96999999999997,5.069999999999993,-0.13999999999998636,high,very_high,high,average,average,high,4
2023-04-27,15.954545454545453,1.119246861924686,406.95,412.69,406.83,412.4,15.954545454545453,Thursday,-2.1499999999999773,4.060000000000002,-4.96999999999997,very_high,high,very_high,high,average,average,2
2023-04-28,5.758620689655173,1.0342935528120714,412.17,415.94,412.09,415.93,5.758620689655173,Friday,5.449999999999989,5.860000000000014,-2.1499999999999773,very_high,very_high,high,very_high,high,average,0
2023-05-01,1.3674698795180724,1.1527093596059115,416.14,417.62,415.265,415.53,1.3674698795180724,Monday,3.759999999999991,3.8500000000000227,5.449999999999989,low,very_high,very_high,high,very_high,high,1
2023-05-02,1.0,13.107142857142856,414.015,414.26,407.82,410.87,13.107142857142856,Tuesday,-0.6100000000000136,2.355000000000018,3.759999999999991,very_high,low,very_high,very_high,high,very_high,3
2023-05-03,1.3448275862068968,1.8333333333333335,411.65,413.87,407.77,407.99,1.8333333333333335,Wednesday,-3.144999999999982,6.439999999999998,-0.6100000000000136,average,very_high,low,very_high,very_high,high,4
2023-05-04,1.2565789473684212,1.2546125461254611,405.195,407.16,403.74,405.17,1.2565789473684212,Thursday,-3.659999999999968,6.100000000000023,-3.144999999999982,low,average,very_high,low,very_high,very_high,2
2023-05-05,2.7142857142857144,1.0063025210084033,410.2,413.72,409.685,412.61,2.7142857142857144,Friday,-0.024999999999977263,3.420000000000016,-3.659999999999968,high,low,average,very_high,low,very_high,0
2023-05-08,1.1508379888268156,1.2533333333333332,412.56,413.24,411.28,412.79,1.2533333333333332,Monday,2.410000000000025,4.035000000000025,-0.024999999999977263,low,high,low,average,very_high,low,1
2023-05-09,1.2916666666666667,1.1157894736842104,411.161,412.09,410.81,410.96,1.2916666666666667,Tuesday,0.2300000000000182,1.9600000000000364,2.410000000000025,low,low,high,low,average,very_high,3
2023-05-10,1.2084805653710247,2.7027027027027026,412.33,413.79,408.87,412.8,2.7027027027027026,Wednesday,-0.20100000000002183,1.2799999999999727,0.2300000000000182,high,low,low,high,low,average,4
2023-05-11,1.2271505376344087,1.6956521739130435,411.4,412.43,409.97,412.16,1.6956521739130435,Thursday,0.4700000000000273,4.920000000000016,-0.20100000000002183,average,high,low,low,high,low,2
2023-05-12,1.0,7.3076923076923075,413.465,413.55,409.07,411.61,7.3076923076923075,Friday,0.7600000000000477,2.4599999999999795,0.4700000000000273,very_high,average,high,low,low,high,0
2023-05-15,1.8,1.625,411.52,413.43,410.23,413.01,1.8,Monday,-1.8549999999999613,4.480000000000018,0.7600000000000477,average,very_high,average,high,low,low,1
