,,,max_options_pct_change,max_options_pct_change,max_options_pct_change,max_options_pct_change,max_options_pct_change,min_options_pct_change,min_options_pct_change,min_options_pct_change,min_options_pct_change,min_options_pct_change,time_of_max_change,time_of_max_change,time_of_max_change,time_of_max_change,time_of_max_change,time_of_min_change,time_of_min_change,time_of_min_change,time_of_min_change,time_of_min_change
DTE,,,0,1,2,3,4,0,1,2,3,4,0,1,2,3,4,0,1,2,3,4
date,day_name,day_classification,,,,,,,,,,,,,,,,,,,,
2023-02-01,Wednesday,high,3.0840336134453783,2.3141361256544504,2.179856115107914,,,0.0023529411764705885,0.05172413793103448,0.11333333333333334,,,2023-02-01 15:45:00,2023-02-01 15:45:00,2023-02-01 15:45:00,,,2023-02-01 15:45:00,2023-02-01 15:45:00,2023-02-01 15:45:00,,
2023-02-02,Thursday,high,4.48,3.5882352941176467,,,3.5909090909090913,0.04918032786885246,0.26666666666666666,,,0.37500000000000006,2023-02-02 14:00:00,2023-02-02 14:00:00,,,2023-02-02 14:00:00,2023-02-02 14:00:00,2023-02-02 14:00:00,,,2023-02-02 14:00:00
2023-02-03,Friday,average,2.92,,,2.9523809523809526,2.685714285714286,0.01,,,0.1875,0.39999999999999997,2023-02-03 10:45:00,,,2023-02-03 10:45:00,2023-02-03 10:45:00,2023-02-03 15:45:00,,,2023-02-03 15:15:00,2023-02-03 15:45:00
2023-02-06,Monday,very_low,1.4608695652173913,1.3893805309734515,1.4142857142857144,,,0.019230769230769232,0.35000000000000003,0.47368421052631576,,,2023-02-06 11:30:00,2023-02-06 11:30:00,2023-02-06 10:30:00,,,2023-02-06 15:45:00,2023-02-06 15:30:00,2023-02-06 15:30:00,,
2023-02-07,Tuesday,high,3.612903225806452,3.529411764705882,3.1176470588235294,,,0.0026595744680851068,0.05102040816326531,0.11009174311926605,,,2023-02-07 13:00:00,2023-02-07 13:00:00,2023-02-07 13:00:00,,,2023-02-07 15:45:00,2023-02-07 15:45:00,2023-02-07 15:45:00,,
2023-02-08,Wednesday,average_high,4.04,3.2380952380952386,2.7647058823529407,,,0.006369426751592356,0.04761904761904762,0.13636363636363635,,,2023-02-08 11:45:00,2023-02-08 11:45:00,2023-02-08 11:45:00,,,2023-02-08 15:15:00,2023-02-08 15:45:00,2023-02-08 15:30:00,,
2023-02-09,Thursday,high,9.999999999999998,5.428571428571428,,,4.428571428571428,0.002747252747252747,0.038461538461538464,,,0.09259259259259259,2023-02-09 15:30:00,2023-02-09 15:30:00,,,2023-02-09 15:30:00,2023-02-09 15:30:00,2023-02-09 15:15:00,,,2023-02-09 15:45:00
2023-02-10,Friday,very_low,1.5569620253164556,,,1.4776119402985073,1.209125475285171,0.007692307692307692,,,0.18965517241379312,0.43157894736842106,2023-02-10 10:30:00,,,2023-02-10 10:30:00,2023-02-10 10:15:00,2023-02-10 15:45:00,,,2023-02-10 15:45:00,2023-02-10 15:45:00
2023-02-13,Monday,average_high,3.454545454545454,2.346153846153846,2.1555555555555554,,,0.004347826086956522,0.32307692307692304,0.39344262295081966,,,2023-02-13 14:00:00,2023-02-13 14:00:00,2023-02-13 14:00:00,,,2023-02-13 15:45:00,2023-02-13 15:45:00,2023-02-13 15:45:00,,
2023-02-14,Tuesday,average_high,2.3506493506493507,2.0952380952380953,1.9285714285714288,,,0.00980392156862745,0.15,0.2962962962962963,,,2023-02-14 10:15:00,2023-02-14 10:15:00,2023-02-14 10:15:00,,,2023-02-14 15:45:00,2023-02-14 15:45:00,2023-02-14 15:45:00,,
2023-02-15,Wednesday,average,1.868421052631579,1.6000000000000003,1.5714285714285716,,,0.007246376811594204,0.19565217391304346,0.33333333333333337,,,2023-02-15 14:45:00,2023-02-15 14:15:00,2023-02-15 14:15:00,,,2023-02-15 15:45:00,2023-02-15 14:30:00,2023-02-15 14:30:00,,
2023-02-16,Thursday,average_high,2.6,1.9508196721311475,,,,0.014705882352941176,0.16883116883116883,,,,2023-02-16 12:45:00,2023-02-16 12:45:00,,,,2023-02-16 15:00:00,2023-02-16 12:45:00,,,
2023-02-17,Friday,very_low,1.4169381107491856,,,,1.2481012658227846,0.019801980198019802,,,,0.16279069767441862,2023-02-17 15:00:00,,,,2023-02-17 15:00:00,2023-02-17 15:45:00,,,,2023-02-17 15:45:00
2023-02-21,Tuesday,high,5.208333333333334,3.4210526315789473,2.638297872340426,,,0.00425531914893617,0.10526315789473684,0.1724137931034483,,,2023-02-21 14:15:00,2023-02-21 14:15:00,2023-02-21 14:15:00,,,2023-02-21 15:45:00,2023-02-21 14:30:00,2023-02-21 14:15:00,,
2023-02-22,Wednesday,average,1.894736842105263,1.7352941176470587,1.53125,,,0.006289308176100628,0.09999999999999999,0.24,,,2023-02-22 10:15:00,2023-02-22 10:15:00,2023-02-22 10:45:00,,,2023-02-22 15:45:00,2023-02-22 15:45:00,2023-02-22 15:45:00,,
2023-02-23,Thursday,high,7.888888888888888,4.1764705882352935,,,3.5,0.019230769230769232,0.13157894736842105,,,0.19230769230769232,2023-02-23 12:00:00,2023-02-23 12:00:00,,,2023-02-23 12:00:00,2023-02-23 12:45:00,2023-02-23 13:15:00,,,2023-02-23 13:30:00
2023-02-24,Friday,average,1.6015936254980079,,,1.3768736616702355,1.3364779874213837,0.011494252873563218,,,0.1764705882352941,0.25,2023-02-24 15:00:00,,,2023-02-24 15:00:00,2023-02-24 14:45:00,2023-02-24 15:30:00,,,2023-02-24 15:00:00,2023-02-24 15:15:00
2023-02-27,Monday,average,2.1724137931034484,1.875,1.6923076923076923,,,0.010869565217391304,0.1875,0.2777777777777778,,,2023-02-27 10:15:00,2023-02-27 10:15:00,2023-02-27 10:15:00,,,2023-02-27 15:45:00,2023-02-27 15:45:00,2023-02-27 15:45:00,,
2023-02-28,Tuesday,very_low,1.5202702702702704,1.3380281690140845,1.3157894736842106,,,0.016666666666666666,0.2962962962962963,0.4166666666666667,,,2023-02-28 13:30:00,2023-02-28 13:30:00,2023-02-28 10:15:00,,,2023-02-28 15:45:00,2023-02-28 13:30:00,2023-02-28 15:30:00,,
